"(Sinovac) Children Community Vaccination Centre, Hong Kong Children's Hospital",Sinovac
CENTRAL - 9 Queen's Road Central (Room 2101) - by Humanity & Health (Sinovac),Sinovac
CENTRAL- Club Lusitano -16 Ice House Street (7/F) (Entrance at Duddell Street) - by Marina Medical (Sinovac),Sinovac
"CENTRAL - Virtus Medical Tower, 122 Queen's Road Central (5/F) - by Virtus Care (Sinovac)",Sinovac
TAIKOO SHING - Cityplaza Phrase I (Room 1401-03) - by EC Healthcare Medical Centre (Sinovac),Sinovac
"CAUSEWAY BAY - Sino Plaza, 255 Gloucester Road (11/F) - HKIPHCA (Sinovac)",Sinovac
HUNG HOM-1 Wu Kwong Street (Shop 11) opposite to Hung Hom Bay Centre - by Dr. Leung Shu Piu (Sinovac),Sinovac
"KOWLOON BAY - The Quayside, 77 Hoi Bun Road (Shop 7, 2/F) - by Quality Healthcare (Sinovac)",Sinovac
"TSIM SHA TSUI - Eu Yan Sang Tower, 11-15 Chatham Road South (12/F) - by PPMC (Sinovac)",Sinovac
"JORDAN - 238 Building, 238 Nathan Road (18/F) - by JP Partners Medical (Sinovac)",Sinovac
"MONG KOK - Good Hope Building, 612-618 Nathan Road (8/F) - by Bamboos PNS (Sinovac)",Sinovac
"MONG KOK - T.O.P., 700 Nathan Road (Rm 1502-1505) - by JP Partners Medical (Sinovac)",Sinovac
"TSIM SHA TSUI - Elements, 1 Austin Road West (Shop 1107, 1/F) - by POLYHEALTH (Sinovac)",Sinovac
"SHEUNG SHUI - Landmark North, 39 Lung Sum Avenue (1303A-5) - by JP Partners Medical (Sinovac)",Sinovac
"Community Vaccination Centre, HKU at Gleneagles Hospital Hong Kong",BioNTech
"Community Vaccination Centre, CUHK Medical Centre",BioNTech
"(BioNTech) Children Community Vaccination Centre, Hong Kong Children's Hospital",BioNTech
CUHK Medical Centre Children Community Vaccination Centre,BioNTech
"(BioNTech) Children Community Vaccination Centre, Hong Kong Children's Hospital",BioNTech
CENTRAL - 9 Queen's Road Central (Room 1401-02) - by Humanity & Health (BioNTech),BioNTech
"CENTRAL - Virtus Medical Tower, 122 Queen's Road Central (5/F) - by Virtus Care (BioNTech)",BioNTech
CENTRAL- Club Lusitano -16 Ice House Street (7/F) (Entrance at Duddell Street) - by Marina Medical (BioNTech),BioNTech
TAIKOO SHING - Cityplaza Phrase I (Room 1401-03) - by EC Healthcare Medical Centre (BioNTech),BioNTech
"CAUSEWAY BAY - Sino Plaza, 255 Gloucester Road (11/F) - HKIPHCA (BioNTech)",BioNTech
